path	size	category	decision	reason
branch_site_neural_explicit_branch_truth_100k_mps_high_streamed	42M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_100k_mps_low_streamed	42M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_100k_mps_moderate_streamed	43M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_10k_mps_extreme_streamed	35M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_10k_mps_high_streamed	35M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_10k_mps_low_streamed	35M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_10k_mps_moderate_streamed	36M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_1k_extreme_streamed	5.4M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_1k_high_streamed	5.8M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_1k_low_streamed	5.4M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_explicit_branch_truth_1k_moderate_streamed	6.1M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_fast_external_10k_extreme_streamed	10M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_fast_external_10k_high_streamed	9.7M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_fast_external_10k_low_streamed	9.5M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_neural_fast_external_10k_moderate_streamed	10M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_100k_mps_extreme	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_100k_mps_high	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_100k_mps_low	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_100k_mps_moderate	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_10k_mps_extreme	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_10k_mps_high	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_10k_mps_low	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_10k_mps_moderate	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_1k_extreme	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_1k_high	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_1k_low	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_explicit_branch_truth_1k_moderate	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_fast_external_10k_extreme	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_fast_external_10k_high	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_fast_external_10k_low	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_oracle_fast_external_10k_moderate	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_100k_mps_extreme_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_100k_mps_high_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_100k_mps_low_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_100k_mps_moderate_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_10k_mps_extreme_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_10k_mps_high_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_10k_mps_low_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_10k_mps_moderate_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_1k_extreme_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_1k_high_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_1k_low_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_explicit_branch_truth_1k_moderate_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_fast_external_10k_extreme_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_fast_external_10k_high_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_fast_external_10k_low_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_run_summary_fast_external_10k_moderate_streamed	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_100k_mps_extreme_streamed	880K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_100k_mps_high_streamed	880K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_100k_mps_low_streamed	876K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_100k_mps_moderate_streamed	880K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_10k_mps_extreme_streamed	888K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_10k_mps_high_streamed	888K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_10k_mps_low_streamed	884K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_10k_mps_moderate_streamed	888K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_1k_extreme_streamed	836K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_1k_high_streamed	828K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_1k_low_streamed	848K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_explicit_branch_truth_1k_moderate_streamed	856K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_fast_external_10k_extreme_streamed	816K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_fast_external_10k_high_streamed	824K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_fast_external_10k_low_streamed	832K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_site_threshold_policy_fast_external_10k_moderate_streamed	840K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_100k_mps	16K	directory	keep_zenodo_only	lightweight retained validation/model/report artifact copied to release archive
branch_truth_status_audit_explicit_branch_truth_100k_mps_extreme	12K	directory	manual_review	not matched by cleanup policy
branch_truth_status_audit_explicit_branch_truth_100k_mps_high	12K	directory	manual_review	not matched by cleanup policy
branch_truth_status_audit_explicit_branch_truth_100k_mps_low	12K	directory	manual_review	not matched by cleanup policy
branch_truth_status_audit_explicit_branch_truth_100k_mps_moderate	12K	directory	manual_review	not matched by cleanup policy
branch_truth_status_audit_explicit_branch_truth_10k_mps_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_10k_mps_high	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_10k_mps_low	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_10k_mps_moderate	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_1k	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_1k_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_1k_high	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_1k_low	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_explicit_branch_truth_1k_moderate	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
branch_truth_status_audit_fast_external_10k	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
calibration_scale_test_1000	292K	directory	manual_review	not matched by cleanup policy
calibration_smoke_c14	20K	directory	manual_review	not matched by cleanup policy
calibration_smoke_c8	20K	directory	manual_review	not matched by cleanup policy
calibration_smoke_c9	16K	directory	manual_review	not matched by cleanup policy
external reviewer_HANDOFF_EXPLICIT_BRANCH_TRUTH_1K_20260517.md	16K	file	manual_review	not matched by cleanup policy
external reviewer_HANDOFF_FAST_EXTERNAL_10K_20260511.md	12K	file	manual_review	not matched by cleanup policy
CITATION.cff	4.0K	file	keep_git	source, docs, tests, manuscript, or release metadata
classical_reference_workflow_plan_smoke	68K	directory	manual_review	not matched by cleanup policy
cleanup_reports	2.1M	directory	keep_git	source, docs, tests, manuscript, or release metadata
automation environment_explicit_1k_post_controls_decision_report.md	8.0K	file	manual_review	not matched by cleanup policy
dataset_explicit_branch_truth_100k_mps_extreme	40M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_100k_mps_high	40M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_100k_mps_low	39M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_100k_mps_moderate	41M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_10k_mps_extreme	4.0M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_10k_mps_high	4.0M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_10k_mps_low	4.0M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_10k_mps_moderate	4.1M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_1k_extreme	420K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_1k_high	416K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_1k_low	412K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_explicit_branch_truth_1k_moderate	424K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_external_aligner_validation_extreme	320K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_external_aligner_validation_high	212K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_external_aligner_validation_low	416K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_external_aligner_validation_moderate	424K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_fast_external_10k_extreme	4.0M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_fast_external_10k_high	4.0M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_fast_external_10k_low	2.9M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_fast_external_10k_moderate	4.1M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_neural_1000	884K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_neural_10000	8.6M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_saturation_1000	1.3M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_saturation_10000	13M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_saturation_resplit_seed43	1.3M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_saturation_smoke_c18	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_saturation_smoke_c19	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_scale_test_1000	884K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c10	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c11	28K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c12	32K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c13	36K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c14	36K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c15	36K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c6	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c7	28K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c8	36K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
dataset_smoke_c9	28K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
deployable_model_conservative_branch_site_100k_mps	392K	directory	keep_zenodo_only	lightweight retained validation/model/report artifact copied to release archive
deployable_model_load_smoke	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
deployable_model_load_smoke_molevo	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
deployable_model_package_plan_100k_mps	24K	directory	manual_review	not matched by cleanup policy
docs	52K	directory	keep_git	source, docs, tests, manuscript, or release metadata
empirical_alignment_smoke	76K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_applicability_smoke	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_feature_audit_smoke	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_features_smoke	24K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_input_smoke	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_pilot_panel_run_smoke	928K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_pilot_panel_summary_smoke	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_pilot_panel_validation_smoke	60K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_reference_comparison_smoke	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_report_smoke	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_scores_smoke	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
empirical_scoring_plan_smoke	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
examples	24K	directory	keep_git	source, docs, tests, manuscript, or release metadata
explicit_branch_truth_100k_mps_cross_tier_summary	140K	directory	keep_zenodo_only	lightweight retained validation/model/report artifact copied to release archive
explicit_branch_truth_100k_mps_final_validation_report.json	124K	file	keep_git	source, docs, tests, manuscript, or release metadata
explicit_branch_truth_100k_mps_final_validation_report.md	8.0K	file	keep_git	source, docs, tests, manuscript, or release metadata
explicit_branch_truth_100k_mps_final_validation_report.tsv	8.0K	file	keep_git	source, docs, tests, manuscript, or release metadata
explicit_branch_truth_100k_mps_plan	236K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_100k_mps_plan_blazing	252K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_100k_mps_plan_maxjuice	92K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_100k_mps_truth_status_audit	16K	directory	keep_zenodo_only	lightweight retained validation/model/report artifact copied to release archive
explicit_branch_truth_10k_mps_cross_tier_summary	132K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_10k_mps_plan_blazing	156K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_10k_mps_truth_status_audit	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_10k_vs_100k_mps_comparison	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
explicit_branch_truth_1k_cross_tier_summary	100K	directory	manual_review	not matched by cleanup policy
explicit_branch_truth_1k_plan	96K	directory	manual_review	not matched by cleanup policy
explicit_branch_truth_prototype_plan	20K	directory	manual_review	not matched by cleanup policy
external_aligner_1k_cross_tier_summary	64K	directory	manual_review	not matched by cleanup policy
external_aligner_status.json	4.0K	file	manual_review	not matched by cleanup policy
external_aligner_validation_plan_1k	40K	directory	manual_review	not matched by cleanup policy
external_aligner_validation_plan_1k_full	40K	directory	manual_review	not matched by cleanup policy
external_aligner_validation_plan_fast_1k	44K	directory	manual_review	not matched by cleanup policy
external_benchmark_panel_plan	24K	directory	manual_review	not matched by cleanup policy
external_completed_tier_report_plan	16K	directory	manual_review	not matched by cleanup policy
external_extreme_recovery_plan	28K	directory	manual_review	not matched by cleanup policy
fast_external_10k_aligner_status.json	4.0K	file	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
fast_external_10k_cross_tier_summary	64K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
fast_external_10k_plan	108K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
input	0B	directory	manual_review	not matched by cleanup policy
label_signal_saturation_1000	32K	directory	manual_review	not matched by cleanup policy
large_run_plan_100k	32K	directory	manual_review	not matched by cleanup policy
large_run_plan_10k	32K	directory	manual_review	not matched by cleanup policy
leakage_audit_saturation_1000	12K	directory	manual_review	not matched by cleanup policy
LICENSE	4.0K	file	keep_git	source, docs, tests, manuscript, or release metadata
logs	944K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
Manuscript	624K	directory	keep_git	source, docs, tests, manuscript, or release metadata
method_policy_explicit_branch_truth_100k_mps_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_100k_mps_high	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_100k_mps_low	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_100k_mps_moderate	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_10k_mps_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_10k_mps_high	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_10k_mps_low	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_10k_mps_moderate	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_1k_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_1k_high	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_1k_low	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_explicit_branch_truth_1k_moderate	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_external_aligner_validation_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_fast_external_10k_extreme	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_fast_external_10k_high	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_fast_external_10k_low	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
method_policy_fast_external_10k_moderate	12K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
model_compare_1000	24K	directory	manual_review	not matched by cleanup policy
model_compare_c14	24K	directory	manual_review	not matched by cleanup policy
model_compare_v1_v2_1000	24K	directory	manual_review	not matched by cleanup policy
mps_smoke_c37	8.0K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ablation_contrastive_v2_1000	516K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ablation_embed_only_1000	540K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ablation_group_weight_only_1000	516K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ablation_sampler_only_1000	516K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_calibration_1000	296K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_calibration_10000	2.8M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_calibration_c13	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_calibration_c14	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ranking_diag_1000	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ranking_policy_1000	292K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ranking_site_attention_1000	532K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_ranking_stratified_1000	108K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_smoke_1000	252K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_smoke_c11	32K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_train_1000	324K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_train_10000	2.6M	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_train_c12	84K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_train_c13	84K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_train_c14	84K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v1_diag_1000	64K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_1000	424K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_calibrated_policy_1000	380K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_calibrated_stratified_1000	92K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_calibration_1000	292K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_calibration_smoke_c15	20K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_diag_1000	72K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_diag_saturation_1000	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_diag_smoke_c15	60K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_policy_1000	276K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_saturation_1000	512K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_saturation_calibration_1000	388K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_saturation_policy_1000	268K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_saturation_stratified_1000	96K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_smoke_c15	180K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v2_stratified_1000	84K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v3_diag_saturation_1000	16K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v3_saturation_1000	540K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v3_saturation_policy_1000	260K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v3_saturation_policy_c20_1000	264K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
neural_v3_saturation_smoke_c19	80K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
